2.68	0.045	0.4107000	266.79	30.5194
3.15	0.1352	0.4182000	227.73	110.4631
3.61	0.1033	0.4101000	219.31	90.9244
4.07	0.2495	0.3931000	83.08	177.6645
4.51	0.0766	0.4700000	142.15	98.9820
4.97	0.0346	0.4231000	26.95	21.4976
5.43	0.0867	0.4425000	64.14	85.7053
5.88	0.2445	0.4144000	65.29	159.4626
6.34	0.2124	0.4259000	100.23	162.5310
6.8	0.0914	0.4083000	5.9	79.8322
7.25	0.0208	0.4596000	0.46	6.2803
7.71	0.0222	0.4476000	0.02	5.5978
10	0.1189	0.3766000	224.13	61.3732
10.45	0.1212	0.3902000	479.53	73.3614
10.91	0.1347	0.3882000	170.38	91.6699
11.37	0.1553	0.3608000	34.83	84.4334
11.83	0.1611	0.3670000	60.46	89.2411
12.28	0.1491	0.3991000	101.68	111.4035
12.76	0.1178	0.4317000	104.78	100.5827
13.2	0.0967	0.4119000	29.1	74.7353
13.67	0.0327	0.4923000	0.01	33.1414
14.11	0.0176	0.4011000	1.07	3.7680
14.58	0.0858	0.3538000	36.03	49.1499
15.01	0.0599	0.3203000	0.3	27.8086
15.5	0.0971	0.3407000	189.51	41.1305
15.93	0.032	0.3215000	4.32	10.7199
16.38	0.0321	0.3426000	79.57	12.1076
16.84	0.1836	0.2602000	67.42	46.3842
17.31	0.07	0.3601000	83.23	47.2051
17.79	0.2105	0.2814000	51.76	66.0477
18.21	0.3713	0.2720000	121.09	99.3415
18.67	0.4334	0.3154000	108.64	155.1930
19.14	0.3192	0.3250000	104.7	133.9123
19.58	0.2663	0.3569000	147.87	144.0843
20.07	0.0291	0.4121000	1.22	21.5419
