5.060000	0.177400	0.275700	250.000000	55.9920
5.563000	0.296200	0.223300	84.000000	54.2539
6.066000	0.048300	0.274400	50.000000	16.5267
6.553000	0.035700	0.242500	5.000000	3.9049
7.559000	0.153500	0.311000	62.000000	50.3843
8.062000	0.178300	0.308700	34.000000	60.0388
8.565000	0.184400	0.327900	30.000000	71.9030
9.053000	0.215900	0.348200	42.000000	96.1971
9.555000	0.121800	0.322300	26.000000	61.4241
4.56	0.03280	0.20370	58	3.7207
5.06	0.05120	0.19260	0.53	3.8975
5.55	0.04910	0.29460	7.3	10.2542
6.05	0.04090	0.33450	7.4	12.4615
6.55	0.04150	0.30990	6.9	8.4960
7.06	0.04620	0.31710	0.53	7.7685
7.54	0.11830	0.33230	25	42.7420
8.06	0.23270	0.34020	108	101.0335
8.53	0.22750	0.33480	29.2	92.5169
9.05	0.25210	0.32950	51.4	102.8325
9.56	0.17540	0.33710	45	73.4262
10.06	0.04590	0.14800	30.6	4.1952
4.587	0.02960	0.26830	0.9	7.0107
5.06	0.01410	0.25370	0.18	1.2490
7.056	0.02280	0.28590	0.036	2.7416
7.559	0.06150	0.30450	14.6	19.1817
8.047	0.09810	0.31250	35.3	25.2665
8.565	0.14910	0.32560	42	64.0249
9.053	0.17580	0.33200	36.8	70.9141
9.54	0.18880	0.30300	56.1	69.9634
